Date,Open,High,Low,Close,Volume
20181001,34.1,34.4,33.7,33.7,3222310
20180928,34,34.5,33.9,34.1,3783478
20180927,33.9,34.1,33.7,33.9,2942652
20180926,34,34.4,33.8,33.9,2915363
20180925,34.2,34.6,34,34,3999558
20180924,34.5,34.7,34.3,34.3,2805624
20180921,33.9,34.4,33.8,34.4,7293427
20180920,33.5,33.9,33.4,33.8,3473652
20180919,33.6,33.9,33.4,33.5,2798730
20180918,33,33.5,32.9,33.5,2411600
20180917,33.7,33.7,33.2,33.2,1908269
20180914,33.4,33.9,33.4,33.7,4140257
20180913,33,33.8,32.9,33.4,6398577
20180912,33.2,33.3,32.9,32.9,2964205
20180911,32.7,33.2,32.7,33,3898476
20180910,33.4,33.4,30.8,32.8,3148899
20180907,32.7,33.4,32.7,33.4,2485961
20180906,34,34.2,32.6,32.7,3164832
20180905,32.9578,33.3057,32.3491,32.697,4808542
20180904,33.8274,33.9144,32.8709,33.0448,5963473
20180831,34.5231,34.5231,33.8274,34.0014,4286128
20180830,34.2583,34.5192,34.0844,34.5231,4212097
20180829,34.1753,34.3492,33.7405,34.1753,4615659
20180828,33.8236,34.0844,33.7366,33.8274,5158953
20180827,33.9144,34.3492,33.7405,33.7405,3180882
20180824,33.2187,34.1753,32.9578,33.7405,7614923
20180823,32.9541,33.3019,32.7802,33.2187,3014955
20180822,33.0448,33.3926,32.7839,32.8709,4526943
20180821,31.9107,32.9541,31.9107,32.9578,5164728
20180820,32.0846,32.4324,31.7368,31.9143,3250515
20180817,32.0013,32.697,32.0013,32.0013,3162682
20180816,32.0013,32.3491,31.3056,32.0013,6703679
20180815,32.7839,33.1318,32.0882,32.1752,6050256
20180814,33.3926,33.3926,32.61,32.61,3333384
20180813,32.4361,33.1318,32.0013,33.1318,7344210
20180810,32.0013,32.4361,31.4795,32.4361,4939666
20180809,31.9143,32.697,31.9143,32.0013,6024097
20180808,30.9542,31.9107,30.8673,31.9143,6086041
20180807,30.6969,31.1317,30.349,30.8708,3340719
20180806,30.8673,31.1281,30.3456,30.6099,2378607
20180803,31.1317,31.6534,30.8708,30.8708,3765836
20180802,30.8708,30.9578,30.1751,30.8708,4547726
20180801,31.1317,31.3926,30.523,30.8708,3370615
20180731,31.3056,31.1317,31.7404,30.9578,4169999
20180730,31.0447,31.7404,30.9578,31.3926,3446870
20180727,30.436,31.2186,30.349,30.9578,4283058
20180726,26.6098,31.0447,26.6098,30.2621,6326835
20180725,32.61,32.61,29.5664,29.5664,4478560
20180724,31.0412,32.6063,29.9978,30.6099,4390214
20180723,32.0846,32.1715,31.0412,31.0447,4970456
20180720,30.7838,32.0013,30.0882,32.0013,8925712
