Date,Open,High,Low,Close,Volume
20181001,35.2,35.5,34.6,34.75,1733190
20180928,34.9,35.65,34.7,35.2,2822910
20180927,35,35.05,34.65,34.65,2074090
20180926,34.95,35.45,34.9,34.9,1956500
20180925,34.75,35.6,34.6,35,1820120
20180924,35.3,35.6,34.85,34.9,2423940
20180921,35.7,35.75,34.65,35.3,4631020
20180920,35.3,35.75,34.85,35.5,2304800
20180919,35.5,35.95,35.2,35.3,2943070
20180918,33.8,35.3,33.5,35.25,4127500
20180917,34.7,35.1,34.2,34.2,2164200
20180914,35.3,35.5,34.7,34.85,1656240
20180913,35.2,35.5,34.5,35,2984670
20180912,35.5,35.6,34.75,34.75,2528070
20180911,34,35.4,33.9,35.3,4371130
20180910,33.8,34.5,33.5,34,3078830
20180907,32.5,34.15,32.5,33.9,3171020
20180906,33.1,33.2,32.4,32.75,1923190
20180905,32.2,33.35,32.15,33.1,3283340
20180904,34,34,32.2,32.5,4088990
20180831,34.8,35,34.3,34.4,2336200
20180830,33.6,34.9,33.5,34.9,3286300
20180829,33.7,34.1,33.55,33.65,2319810
20180828,34.3,34.3,33.3,33.7,2582530
20180827,33.7,34.1,33.45,34,2541980
20180824,32.6,33.55,32.6,33.4,2775350
20180823,32.7,33.5,32.2,33.05,3335590
20180822,33.2,33.7,32.4,32.5,4346680
20180821,31,33,31,33,4070460
20180820,31,31.8,30.8,31.4,3573200
20180817,30.6,31.7,30.1,31.1,4664800
20180816,28.95,30.05,28,30,5017400
20180815,30.5,30.7,28.6,29.3,4946070
20180814,30.5,30.65,29.9,30,2187220
20180813,29.7,30.85,29.6,30.5,3670180
20180810,28.6,29.9,28.5,29.9,4423770
20180809,29.5,29.8,28.8,28.85,3444030
20180808,27.5,29.2,27.5,29.2,4507240
20180807,26.3,27.7,26.3,27.45,3707270
20180806,26.6,27.6,26.05,26.85,3262290
20180803,26.6,26.7,26.3,26.55,2585620
20180802,26,26.2,25.3,26.2,3523250
20180801,26.3,26.8,26,26.3,3487790
20180731,26.2,26.95,25.85,26.3,5307160
20180730,25.2,26.3,25,26.3,3793610
20180727,24.1,24.95,24,24.8,2031060
20180726,23.6,24.1,23.25,24.1,2364560
20180725,25,25.15,23.6,23.6,2773760
20180724,24.7,25.5,24,24.8,2591310
20180723,24.8,26.2,24.8,24.8,3124370
20180720,25.4,25.9,24.8,25.4,4279270
20180719,26,26.2,25.5,25.8,3344910
20180718,25,26.2,24.9,26.15,4012340
20180717,23.6,25.15,23.6,24.9,3991770
20180716,24,24.4,23.7,24.15,2912010
20180713,23.5,24,23.3,23.5,3138160
20180712,23,23.6,22.05,23,2508790
20180711,22.8,23,22,22.1,5441810
20180710,23.7,24.35,23.4,23.65,3612750
20180709,23.6,24.4,23.25,23.3,5423120
20180706,21.4,23.1,20.85,23.1,5061910
20180705,22.55,23.05,21.3,21.6,3044050
20180704,23.05,23.15,21.95,22.9,4641640
20180703,24.8,25.15,23.05,23.05,4944960
20180702,25.5,26,24.35,24.75,3542250
