Date,Open,High,Low,Close,Volume
20181001,26.95,26.95,26.3,26.4,4950190
20180928,26.75,27.15,26.75,26.8,8103100
20180927,26.25,26.5,26.05,26.25,3224260
20180926,25.9,26.4,25.9,26,4085480
20180925,25.9,26.2,25.7,25.9,4300320
20180924,26.4,26.45,25.9,25.95,4819510
20180921,26,26.45,25.8,26.3,9772220
20180920,25.1,25.8,25.1,25.8,5714850
20180919,24.6,25.4,24.4,24.95,7585640
20180918,24.45,24.5,24.15,24.45,2643050
20180917,24.4,24.9,24.3,24.4,2839480
20180914,24.5,24.7,24.3,24.35,2863380
20180913,24.5,24.7,24.25,24.3,2987240
20180912,24.8,25.05,24.5,24.5,2781040
20180911,24.45,24.8,24.35,24.7,2106560
20180910,25,25,24.4,24.4,3216240
20180907,24.5,25,24.4,25,3833490
20180906,25.3,25.5,24.5,24.6,6504110
20180905,25.7,25.85,25.1,25.35,3037980
20180904,25.9,26.5,25.7,25.7,4695610
20180831,25.5,26.4,25.5,25.9,9393090
20180830,25.25,25.5,25.1,25.5,2995960
20180829,25.45,25.5,25.2,25.25,2444350
20180828,25.5,25.75,25.35,25.45,3761310
20180827,25.1,25.5,25,25.3,4093960
20180824,25.25,25.4,25,25.05,3737490
20180823,25.5,25.55,25.15,25.4,3016740
20180822,25.7,25.9,25.45,25.5,2987140
20180821,24.9,25.55,24.8,25.5,3846520
20180820,25.95,26.2,24.65,24.9,10439230
20180817,26.7,26.8,26,26,4006110
20180816,26.3,26.6,26,26.5,4440310
20180815,27.35,27.5,26.5,26.5,5635930
20180814,27.5,27.85,27.2,27.2,9653960
20180813,26.7,27.4,26.5,27.15,7875670
20180810,26.9,26.95,26.4,26.8,2429990
20180809,26.9,27.45,26.8,26.9,7315610
20180808,26.35,26.6,26.2,26.6,3560410
20180807,26.05,26.65,25.95,26.15,2772610
20180806,26.6,26.7,26.05,26.15,2686230
20180803,27,27,26.6,26.6,3026220
20180802,26.4,26.7,25.8,26.55,4468200
20180801,27,27.35,26.5,26.8,3930160
20180731,27.15,27.55,26.9,27.1,3761470
20180730,27,27.75,26.9,27.3,3756300
20180727,26.2,26.8,25.2,26.4,6420200
20180726,26.7,26.7,25.8,26.2,2635240
20180725,27,27.45,26.3,26.3,3223360
20180724,27.4,27.7,26.4,26.8,3680700
20180723,27.5,28.9,27.5,27.5,8452860
20180720,29.5,29.7,27.8,29.5,12854030
20180719,30.05,30.4,29.7,29.7,5423550
20180718,29.65,30.5,29.65,30.05,6095550
20180717,27.6,29.5,27.35,29.45,8723790
20180716,27.5,27.95,27.15,27.6,2442170
20180713,26.7,27.5,26.7,27.4,2559840
20180712,26.35,27.1,25.5,26.35,2045530
20180711,27,27.1,25.9,25.9,5335090
20180710,27.5,28.15,27.2,27.8,2249930
20180709,27.5,28.1,27,27.1,2109480
20180706,25.2,26.95,24.5,26.95,3989800
20180705,26.4,26.8,24.85,25.2,1986990
20180704,25.8,26.4,24.8,26.4,2083270
20180703,27.7,28.3,25.8,25.8,3386480
20180702,28,28.6,27,27.7,3973170
20180629,29.5,30,28.6,28.7,3866630
20180628,29.7,30.65,29.2,29.5,5375390
20180627,32,32.4,30.4,30.6,3830270
20180626,32,32.55,31.6,32,2686070
20180625,33,33.7,32.35,32.55,5058520
20180622,30.7,32.9,30.6,32.9,4253630
20180621,31.4,32.05,30.9,31,2747630
20180620,30,31.1,29.3,31.1,5608390
20180619,29,29.1,28.2,29.1,3364270
20180618,32.3,32.4,29.9,30.3,3203730
20180615,30.9,31.2708,30.4674,30.591,3677520
20180614,32.2596,32.3214,30.9,30.9,2544990
20180613,31.8888,32.8776,31.8888,32.3832,2470970
20180612,32.754,32.754,30.7764,32.445,4461970
20180611,32.0742,33.681,31.827,32.8776,2938320
20180608,30.282,32.0124,30.282,32.0124,4085220
20180607,30.6528,30.6528,29.9421,30.591,2097860
20180606,30.5292,30.8382,29.973,30.5601,2043840
20180605,31.2708,31.9506,30.282,30.5292,4577940
20180604,28.6752,30.4056,28.6752,30.4056,3890390
20180601,27.501,28.8606,27.2538,28.428,3775220
20180531,26.4504,27.9336,26.3886,27.81,2336730
20180530,25.956,27.4392,25.647,26.6976,4842490
20180529,23.5458,25.647,22.9896,25.647,7706980
20180528,25.338,25.4616,23.9784,23.9784,2699850
20180525,27.192,27.3156,25.647,25.7706,2905170
20180524,28.119,28.119,26.9757,27.2538,1839710
20180523,27.81,28.119,26.6976,27.8718,2602270
20180522,29.046,29.046,27.192,27.81,2653000
20180521,29.2314,29.7258,28.737,29.046,1969320
20180518,28.737,29.664,27.81,28.7679,2496340
20180517,29.8494,29.8494,27.8409,28.3044,5122380
20180516,30.7764,31.0854,29.8494,29.8494,2225270
20180515,30.9,31.518,30.282,31.0236,3185030
20180514,32.3214,32.3214,29.7258,30.8382,8485080
20180511,30.6528,32.136,30.2202,31.9506,2736580
20180510,32.8158,33.1866,30.9,30.9,2582650
20180509,33.4338,34.1136,32.8158,32.8158,1573720
20180508,34.4226,34.608,33.681,33.681,2499960
20180507,32.754,34.5462,32.5686,34.5462,1886800
20180504,32.445,33.063,32.0742,32.3832,2703750
20180503,31.209,32.136,30.0348,31.9506,3797020
20180502,31.7034,33.8664,31.3326,31.7034,2956000
20180427,31.8888,33.9282,30.7146,33.063,4397700
20180426,35.1024,35.2878,32.8158,32.8158,3415920
20180424,33.99,35.7822,33.1248,35.226,3846780
20180423,35.226,38.1924,35.226,35.226,9490180
20180420,37.5744,37.8834,36.462,37.8216,3532830
20180419,39.3048,39.3666,37.5744,37.5744,3691140
20180418,40.5408,40.5408,39.4284,39.4284,1759730
20180417,39.6756,40.2318,39.4284,40.2318,1811450
20180416,39.6138,40.3554,38.8722,39.4902,3097620
20180413,41.2824,41.406,39.6138,39.6138,3338190
20180412,40.788,41.097,40.2318,41.0352,2562940
20180411,42.2094,42.4566,40.479,40.8498,4707690
20180410,42.951,43.26,41.7768,42.2094,3293590
20180409,42.024,43.0746,41.9004,42.8274,3604100
20180406,41.7768,42.2712,41.5914,42.0858,3503680
20180405,42.1476,42.1476,41.2824,41.715,3758200
20180404,42.333,42.642,41.9004,42.0858,2027300
20180403,42.024,42.5802,41.8386,42.2094,3048890
20180402,39.861,42.2094,39.7374,42.024,9876900
20180330,40.2936,40.4172,39.7992,39.861,2056050
20180329,40.1082,40.7262,40.1082,40.2936,3422420
20180328,39.6138,40.2318,39.6138,40.1082,1854780
20180327,40.17,40.788,39.9228,40.1082,3533080
20180326,39.1194,40.1082,39.1194,39.7374,2977790
20180323,39.0576,39.861,38.9958,39.3666,4098250
20180322,40.2936,40.788,39.6138,40.2936,3224470
20180321,40.788,41.097,40.0464,40.17,2369060
20180320,39.3666,40.9734,39.3048,40.4172,6771930
20180319,39.1812,40.3554,39.1194,39.1812,3301910
20180316,39.7374,40.1082,38.934,39.7374,4345170
20180315,39.4902,39.861,39.0576,39.4284,2941630
20180314,39.861,40.2318,39.243,39.861,2886240
20180313,38.8104,39.6756,38.0688,39.6756,4148500
20180312,38.8722,39.552,38.1924,38.8722,7522580
20180309,40.788,40.788,38.934,39.4902,8620060
20180308,38.625,40.2318,38.316,40.2318,5430240
20180307,39.1812,39.243,37.6362,38.316,5083980
20180306,37.1418,38.1924,36.6474,38.1924,4033390
20180305,38.625,38.9958,36.153,36.153,3519210
20180302,36.153,38.316,36.0294,38.2542,5712090
20180301,36.462,37.0182,36.2148,36.5856,2350810
20180228,36.4002,37.3272,36.0912,36.8328,3332900
20180227,36.0912,36.5856,35.7204,36.4002,3264320
20180226,36.462,36.6474,35.7204,35.7822,4344350
20180223,35.4732,36.153,35.1024,36.153,3038950
20180222,35.844,36.2766,34.917,35.2878,4165830
20180221,35.535,36.5238,35.3496,36.0912,3471230
20180213,35.1642,35.1642,34.299,34.917,2396320
20180212,32.9394,34.1136,32.754,34.1136,6359690
20180209,30.282,32.6922,30.282,32.445,3999330
20180208,32.1978,32.5068,31.827,32.136,2316740
20180207,32.136,32.6304,31.7652,32.3832,5853500
20180206,30.5292,31.827,29.6022,30.5292,8073980
20180205,33.1248,33.4338,31.3944,31.827,4065630
20180202,32.3214,33.4956,32.0124,33.4956,2864340
20180201,33.063,33.063,32.0124,32.2596,2796590
20180131,32.754,33.4338,32.6922,32.9394,3541550
20180130,31.8888,32.6922,31.3944,32.6922,5259520
20180129,32.5068,33.372,32.0742,32.1978,5001720
20180126,32.445,33.0012,32.0124,32.136,5418010
20180125,30.9,32.5068,30.6528,32.3832,11483030
20180122,29.7876,30.6528,29.7876,30.4365,3111950
20180119,29.664,30.9618,29.664,29.7876,8250800
20180118,28.9224,29.664,28.737,29.664,3113930
20180117,29.4477,29.8494,28.9533,29.046,2524920
20180116,29.5404,29.6331,28.7988,29.355,4223700
20180115,29.1696,29.9112,28.9842,29.664,2849090
20180112,30.282,30.282,28.9224,29.1078,6034390
20180111,29.2623,30.1275,29.2005,30.1275,2838750
20180110,29.6949,30.0039,29.2932,29.664,4193390
20180109,29.046,29.6331,27.81,29.6022,4813410
20180108,27.4392,28.737,27.192,28.7061,2758530
20180105,27.7482,27.7482,26.883,27.4392,2611280
20180104,26.8212,27.81,26.7903,27.7482,3127720
20180103,27.1302,27.4392,26.6976,26.7903,2393590
20180102,25.3689,27.0993,25.3689,26.7594,6973030
20171229,25.2144,25.5234,25.0908,25.338,2133440
20171228,24.8436,25.2144,24.8436,25.029,1336360
20171227,24.72,24.9054,24.6582,24.6582,1096400
20171226,24.72,24.7818,24.5346,24.5964,702040
20171225,24.9672,24.9672,24.5964,24.6582,885840
20171222,24.9054,24.9672,24.6273,24.9672,863870
20171221,24.9672,25.2762,24.9363,24.9981,1587340
20171220,24.2256,25.029,24.2256,24.9363,1292990
20171219,24.3801,24.3801,23.793,24.2256,1250790
20171218,23.793,24.2874,23.7312,24.102,1219150
20171215,23.7312,24.0093,23.6076,23.6076,738630
20171214,23.484,23.8548,23.484,23.7312,714430
20171213,23.9166,23.9475,23.4222,23.4222,1148350
20171212,23.9784,24.411,22.248,23.9166,2982180
20171211,24.102,24.3801,23.8239,23.8239,1320400
20171208,24.4728,24.72,24.3492,24.411,1251580
20171207,25.029,25.0908,24.4728,24.4728,1743680
20171206,25.3689,25.3998,24.7818,25.029,1964010
20171205,25.7706,25.9251,25.1526,25.3689,3035500
20171204,25.4616,26.1414,25.4616,25.647,2860030
