Date,Open,High,Low,Close,Volume
20181001,63.5,63.5,62.5,62.5,1932610
20180928,63.7,64,63,63,2104400
20180927,63.4,64.2,63.2,63.4,2121040
20180926,64.4,64.9,63.8,63.8,2099660
20180925,64.4,65.2,64.4,64.4,1031520
20180924,65.5,65.7,64.8,65.2,1094970
20180921,65,65.7,64,64.6,4889170
20180920,63.3,64.6,63.3,64.4,1709890
20180919,63.7,63.7,63.1,63.3,1075000
20180918,62.5,63.3,62.3,63.3,1077110
20180917,64,64,62.9,62.9,1007490
20180914,63.2,64.4,63.2,64,2405940
20180913,62.8,63.4,62.6,62.9,1069800
20180912,63.2,63.6,62.5,62.6,1590110
20180911,61.5,63.1,61.5,63,1543540
20180910,62,62.6,61.1,62,1505560
20180907,60.1,62.2,60.1,62,1595530
20180906,60.6,61,60.2,60.3,796450
20180905,61,61.8,60.3,60.6,1766180
20180904,62.5,62.6,60.9,61,2050280
20180831,63.8,64,62,62.5,1949400
20180830,63.1,64.2,62.4,63.8,1336350
20180829,63.9,64.1,63.1,63.1,1117930
20180828,63.5,64.3,62.9,64,2588320
20180827,62.5,63.5,62.4,63.1,1805900
20180824,62.6,62.6,61.8,62,1779380
20180823,62,62.8,61.6,62.6,1301270
20180822,62.8,63,61.9,61.9,1490660
20180821,61,62.7,61,62.7,1724610
20180820,62,62.5,61.4,61.4,1601770
20180817,61.1,62.9,60.8,62,2711770
20180816,60,61,58.9,60.6,3426320
20180815,63.2,63.4,60.5,60.6,3238040
20180814,63.8,63.8,62.7,62.8,1274800
20180813,63,63.8,62.2,63.8,2397270
20180810,61,63.5,61,63.5,3849630
20180809,62.1,62.7,61.3,61.3,2508810
20180808,61.6,62.4,61,62.1,2193510
20180807,58.8,61.9,58.6,61.5,5488590
20180806,58.2,59.6,58.2,59,1782410
20180803,59.5,59.7,58.1,58.5,1770230
20180802,58.2,59,57.7,59,1855340
20180801,59.1,59.2,58.4,58.6,1902040
20180731,57.1,59.3,56.8,58.5,3438180
20180730,57,57.4,56.5,57.3,1288790
20180727,56.7,57.3,56.2,56.5,979280
20180726,55.4,56.7,54.5,56.7,2107890
20180725,57.3,57.4,55.3,55.3,1257900
20180724,57,57.4,56,57,1683260
20180723,56.6,58.4,56.5,56.6,2618240
20180720,56.8,57.2,55.1,56.8,2204900
20180719,57.7,57.8,56.7,56.8,1704000
20180718,55.8,57.5,55.8,57.5,2473610
20180717,54,55.8,54,55.8,1594780
20180716,55,55.5,54.3,54.9,1302130
20180713,53.3,54.9,52,54.8,1709410
20180712,52.4,53.6,50.5,52.4,1422890
20180711,51.9,52.5,50.1,51.2,3312190
20180710,55.5,55.5,53.1,53.1,1360490
20180709,55,56.4,54,54,1434270
20180706,51.1,55.4,50.5,55,3443450
20180705,55.4,55.6,52,52,2865870
20180704,56.2,56.5,54.7,55.6,2452480
20180703,58.3,58.3,56,56,3355250
20180702,57.5,58.4,55.4,58.1,2846420
20180629,57.9,58.7,56.8,58,1439520
20180628,57,58.7,57,57.9,2114670
20180627,59,60.5,58,58,2602270
20180626,58.5,59.4,58,59.3,1346430
20180625,60,60.2,58.9,59.4,2415610
20180622,56.1,58.7,55.5,58.7,2529630
20180621,58,58.2,56.4,57,1637920
20180620,57,58.7,56.2,58.1,2767440
20180619,54.5,56.5,54,56.5,5149160
20180618,58.9,59,56,56.5,2461860
20180615,57.5,59,57.4,59,2557670
20180614,59.9,59.9,58,58.1,2814340
20180613,57.6,59.9,57.6,59.9,2054850
20180612,58.5,59,56.5,58,3024500
20180611,59.4,60.3,58.5,59,2453150
20180608,58.3,60.4,58.3,59.7,2693680
20180607,59,59.3,58.4,58.7,2538580
20180606,58.1,59.7,57.6,59.1,2183260
20180605,58.6,59.6,57.7,58.6,3532580
20180604,56.5,59.6,56,59.3,3837380
20180601,54.1,57.5,53.9,57,5930650
20180531,51.5,54.5,51.4,54.1,3736400
20180530,51,52.8,50.5,52,4432950
20180529,47.5,50,46.8,50,2610350
20180528,49,49.6,46.8,46.8,4579370
20180525,53.4,53.7,50,50,2718610
20180524,54.5,54.8,53,53.3,1312180
20180523,53,54.5,52,54.5,2045320
20180522,54.9,55.5,52,53.4,3235250
20180521,56.5,57.4,55.7,55.7,1835620
20180518,56.9,57.1,54.8,56.5,2437850
20180517,57,57.4,56.2,56.8,2079780
20180516,58.5,58.9,57,57,2368960
20180515,58.3,59.8,58.2,58.7,2498910
20180514,58.2,58.5,56.9,58.3,1522180
20180511,56.5,58,54.5,57.9,3954360
20180510,59.9,60.2,55.6,56.5,4433980
20180509,60.7,61,59.5,59.5,2787480
20180508,61.3,62.2,61,61,2947160
20180507,59.8,62.1,59.3,62.1,3511210
20180504,60.2,60.7,58.9,59,3234250
20180503,58.2,59.7,56.9,59.6,3451890
20180502,58.2,61,57.8,58.2,2862030
20180427,58.2,60.2,58.1,60,2940100
20180426,60,61.3,58,58.2,4669710
20180424,59,60.7,58,60,4451970
20180423,59.6,64.8,59.6,59.6,2876760
20180420,61.2,64,60.7,64,2996320
20180419,64.4,64.5,61,61,4909820
20180418,67.8,67.8,64.8,64.8,2005410
20180417,66,67,65.5,67,2104840
20180416,67.2,67.6,65.1,65.9,3992890
20180413,71.3,71.4,67.5,67.9,5148440
20180412,70.9,71.5,70,70.9,3262970
20180411,74.7,74.8,70,71.2,3911130
20180410,74.5,75.3,73.6,74.5,5026810
20180409,73.5,74.3,73.5,73.8,2693260
20180406,73.6,74.8,73.4,73.5,2346040
20180405,73.8,74,72.6,73.5,1763710
20180404,74.5,74.8,73.5,73.5,2089100
20180403,74,75.3,73.5,74.3,3500060
20180402,71,74,70.8,74,3055600
20180330,71,71.4,70.2,70.5,1280140
20180329,70.8,71.6,70.1,71,1457380
20180328,69.9,71.3,69.8,70.5,1643300
20180327,72.8,72.9,70.6,71,2322350
20180326,70,71.9,69.6,71.9,1821910
20180323,68.5,70.7,68.5,69.9,4563730
20180322,74,74,72,72,3871380
20180321,74.5,75.2,73.5,73.5,2952180
20180320,73.3,74.9,73.3,74,1836040
20180319,74.3,76.5,73,74.3,2803610
20180316,74.7,75.3,74.1,74.7,5327050
20180315,73,74.5,72.8,73.8,2111990
20180314,72.6,74.3,72.6,73.8,4053460
20180313,72,72.6,70.6,72,2146470
20180312,72,73.4,71.5,72,2899140
20180309,70.5,71.5,69.6,71,3236520
20180308,69.6,70.4,68.8,69.5,1554260
20180307,71.5,71.9,68.5,69.6,2277620
20180306,69,71.5,67.7,71.2,3103920
20180305,72,72.5,68,68,2914810
20180302,70,72,70,71.8,2525210
20180301,72.6,74.6,71,71.5,3615670
20180228,72.1,75,72,73.8,3475320
20180227,72.9,73.5,71.7,73.2,2249770
20180226,74.3,74.3,71.4,71.9,3453290
20180223,67,71.4,66.7,71.4,4825770
20180222,65.6,67.4,65.4,66.8,2352100
20180221,65,67.9,64.5,66.2,2132410
20180213,64.3,64.9,63.6,64,1527780
20180212,62,63.5,60.7,63.5,1847850
20180209,58.5,62.3,58.5,60.9,2408810
20180208,62.6,63.5,61.5,62.9,855160
20180207,65,65.2,62.8,63.5,1635780
20180206,62,63,58.4,62,6724710
20180205,66,67,62.7,62.7,2687810
20180202,67.5,67.5,66.6,67.4,1652660
20180201,66.4,67.8,65.8,66.6,2166810
20180131,67,68.9,66.2,66.6,1936300
20180130,66.5,67.8,66.2,67,2818520
20180129,70,71.5,67.8,68,2281360
