,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
35,VCB,20181001,63.5,63.5,62.5,62.5,1932610
380,VCB,20180928,63.7,64.0,63.0,63.0,2104400
730,VCB,20180927,63.4,64.2,63.2,63.4,2121040
1093,VCB,20180926,64.4,64.9,63.8,63.8,2099660
1447,VCB,20180925,64.4,65.2,64.4,64.4,1031520
1796,VCB,20180924,65.5,65.7,64.8,65.2,1094970
2132,VCB,20180921,65.0,65.7,64.0,64.6,4889170
2499,VCB,20180920,63.3,64.6,63.3,64.4,1709890
2853,VCB,20180919,63.7,63.7,63.1,63.3,1075000
3184,VCB,20180918,62.5,63.3,62.3,63.3,1077110
3530,VCB,20180917,64.0,64.0,62.9,62.9,1007490
3900,VCB,20180914,63.2,64.4,63.2,64.0,2405940
4227,VCB,20180913,62.8,63.4,62.6,62.9,1069800
4565,VCB,20180912,63.2,63.6,62.5,62.6,1590110
4913,VCB,20180911,61.5,63.1,61.5,63.0,1543540
5260,VCB,20180910,62.0,62.6,61.1,62.0,1505560
5611,VCB,20180907,60.1,62.2,60.1,62.0,1595530
5946,VCB,20180906,60.6,61.0,60.2,60.3,796450
6314,VCB,20180905,61.0,61.8,60.3,60.6,1766180
6662,VCB,20180904,62.5,62.6,60.9,61.0,2050280
6989,VCB,20180831,63.8,64.0,62.0,62.5,1949400
7335,VCB,20180830,63.1,64.2,62.4,63.8,1336350
7680,VCB,20180829,63.9,64.1,63.1,63.1,1117930
8040,VCB,20180828,63.5,64.3,62.9,64.0,2588320
8366,VCB,20180827,62.5,63.5,62.4,63.1,1805900
8716,VCB,20180824,62.6,62.6,61.8,62.0,1779380
9062,VCB,20180823,62.0,62.8,61.6,62.6,1301270
9368,VCB,20180822,62.8,63.0,61.9,61.9,1490660
9722,VCB,20180821,61.0,62.7,61.0,62.7,1724610
10049,VCB,20180820,62.0,62.5,61.4,61.4,1601770
10419,VCB,20180817,61.1,62.9,60.8,62.0,2711770
10776,VCB,20180816,60.0,61.0,58.9,60.6,3426320
11107,VCB,20180815,63.2,63.4,60.5,60.6,3238040
11403,VCB,20180814,63.8,63.8,62.7,62.8,1274800
11763,VCB,20180813,63.0,63.8,62.2,63.8,2397270
12115,VCB,20180810,61.0,63.5,61.0,63.5,3849630
12457,VCB,20180809,62.1,62.7,61.3,61.3,2508810
12793,VCB,20180808,61.6,62.4,61.0,62.1,2193510
13139,VCB,20180807,58.8,61.9,58.6,61.5,5488590
13448,VCB,20180806,58.2,59.6,58.2,59.0,1782410
13810,VCB,20180803,59.5,59.7,58.1,58.5,1770230
14135,VCB,20180802,58.2,59.0,57.7,59.0,1855340
14484,VCB,20180801,59.1,59.2,58.4,58.6,1902040
14787,VCB,20180731,57.1,59.3,56.8,58.5,3438180
15178,VCB,20180730,57.0,57.4,56.5,57.3,1288790
15515,VCB,20180727,56.7,57.3,56.2,56.5,979280
15831,VCB,20180726,55.4,56.7,54.5,56.7,2107890
16159,VCB,20180725,57.3,57.4,55.3,55.3,1257900
16515,VCB,20180724,57.0,57.4,56.0,57.0,1683260
16816,VCB,20180723,56.6,58.4,56.5,56.6,2618240
17181,VCB,20180720,56.8,57.2,55.1,56.8,2204900
17508,VCB,20180719,57.7,57.8,56.7,56.8,1704000
17853,VCB,20180718,55.8,57.5,55.8,57.5,2473610
18159,VCB,20180717,54.0,55.8,54.0,55.8,1594780
18516,VCB,20180716,55.0,55.5,54.3,54.9,1302130
18869,VCB,20180713,53.3,54.9,52.0,54.8,1709410
19200,VCB,20180712,52.4,53.6,50.5,52.4,1422890
19475,VCB,20180711,51.9,52.5,50.1,51.2,3312190
19806,VCB,20180710,55.5,55.5,53.1,53.1,1360490
20164,VCB,20180709,55.0,56.4,54.0,54.0,1434270
20478,VCB,20180706,51.1,55.4,50.5,55.0,3443450
20785,VCB,20180705,55.4,55.6,52.0,52.0,2865870
21156,VCB,20180704,56.2,56.5,54.7,55.6,2452480
21489,VCB,20180703,58.3,58.3,56.0,56.0,3355250
21821,VCB,20180702,57.5,58.4,55.4,58.1,2846420
22168,VCB,20180629,57.9,58.7,56.8,58.0,1439520
22489,VCB,20180628,57.0,58.7,57.0,57.9,2114670
22790,VCB,20180627,59.0,60.5,58.0,58.0,2602270
23127,VCB,20180626,58.5,59.4,58.0,59.3,1346430
23499,VCB,20180625,60.0,60.2,58.9,59.4,2415610
23777,VCB,20180622,56.1,58.7,55.5,58.7,2529630
24142,VCB,20180621,58.0,58.2,56.4,57.0,1637920
24458,VCB,20180620,57.0,58.7,56.2,58.1,2767440
24797,VCB,20180619,54.5,56.5,54.0,56.5,5149160
25128,VCB,20180618,58.9,59.0,56.0,56.5,2461860
25465,VCB,20180615,57.5,59.0,57.4,59.0,2557670
25805,VCB,20180614,59.9,59.9,58.0,58.1,2814340
26102,VCB,20180613,57.6,59.9,57.6,59.9,2054850
26486,VCB,20180612,58.5,59.0,56.5,58.0,3024500
26775,VCB,20180611,59.4,60.3,58.5,59.0,2453150
27150,VCB,20180608,58.3,60.4,58.3,59.7,2693680
27461,VCB,20180607,59.0,59.3,58.4,58.7,2538580
27817,VCB,20180606,58.1,59.7,57.6,59.1,2183260
28155,VCB,20180605,58.6,59.6,57.7,58.6,3532580
28459,VCB,20180604,56.5,59.6,56.0,59.3,3837380
28806,VCB,20180601,54.1,57.5,53.9,57.0,5930650
29167,VCB,20180531,51.5,54.5,51.4,54.1,3736400
29474,VCB,20180530,51.0,52.8,50.5,52.0,4432950
29819,VCB,20180529,47.5,50.0,46.8,50.0,2610350
30144,VCB,20180528,49.0,49.6,46.8,46.8,4579370
30470,VCB,20180525,53.4,53.7,50.0,50.0,2718610
30839,VCB,20180524,54.5,54.8,53.0,53.3,1312180
31156,VCB,20180523,53.0,54.5,52.0,54.5,2045320
31499,VCB,20180522,54.9,55.5,52.0,53.4,3235250
31870,VCB,20180521,56.5,57.4,55.7,55.7,1835620
32208,VCB,20180518,56.9,57.1,54.8,56.5,2437850
32551,VCB,20180517,57.0,57.4,56.2,56.8,2079780
32874,VCB,20180516,58.5,58.9,57.0,57.0,2368960
33222,VCB,20180515,58.3,59.8,58.2,58.7,2498910
33520,VCB,20180514,58.2,58.5,56.9,58.3,1522180
33872,VCB,20180511,56.5,58.0,54.5,57.9,3954360
34230,VCB,20180510,59.9,60.2,55.6,56.5,4433980
34553,VCB,20180509,60.7,61.0,59.5,59.5,2787480
34886,VCB,20180508,61.3,62.2,61.0,61.0,2947160
35212,VCB,20180507,59.8,62.1,59.3,62.1,3511210
35523,VCB,20180504,60.2,60.7,58.9,59.0,3234250
35864,VCB,20180503,58.2,59.7,56.9,59.6,3451890
36202,VCB,20180502,58.2,61.0,57.8,58.2,2862030
36533,VCB,20180427,58.2,60.2,58.1,60.0,2940100
36868,VCB,20180426,60.0,61.3,58.0,58.2,4669710
37191,VCB,20180424,59.0,60.7,58.0,60.0,4451970
37547,VCB,20180423,59.6,64.8,59.6,59.6,2876760
37888,VCB,20180420,61.2,64.0,60.7,64.0,2996320
38246,VCB,20180419,64.4,64.5,61.0,61.0,4909820
38534,VCB,20180418,67.8,67.8,64.8,64.8,2005410
38880,VCB,20180417,66.0,67.0,65.5,67.0,2104840
39252,VCB,20180416,67.2,67.6,65.1,65.9,3992890
39571,VCB,20180413,71.3,71.4,67.5,67.9,5148440
39910,VCB,20180412,70.9,71.5,70.0,70.9,3262970
40252,VCB,20180411,74.7,74.8,70.0,71.2,3911130
40597,VCB,20180410,74.5,75.3,73.6,74.5,5026810
40909,VCB,20180409,73.5,74.3,73.5,73.8,2693260
41264,VCB,20180406,73.6,74.8,73.4,73.5,2346040
41601,VCB,20180405,73.8,74.0,72.6,73.5,1763710
41946,VCB,20180404,74.5,74.8,73.5,73.5,2089100
42308,VCB,20180403,74.0,75.3,73.5,74.3,3500060
42607,VCB,20180402,71.0,74.0,70.8,74.0,3055600
42945,VCB,20180330,71.0,71.4,70.2,70.5,1280140
43292,VCB,20180329,70.8,71.6,70.1,71.0,1457380
43642,VCB,20180328,69.9,71.3,69.8,70.5,1643300
43984,VCB,20180327,72.8,72.9,70.6,71.0,2322350
44309,VCB,20180326,70.0,71.9,69.6,71.9,1821910
44679,VCB,20180323,68.5,70.7,68.5,69.9,4563730
44993,VCB,20180322,74.0,74.0,72.0,72.0,3871380
45343,VCB,20180321,74.5,75.2,73.5,73.5,2952180
45694,VCB,20180320,73.3,74.9,73.3,74.0,1836040
46045,VCB,20180319,74.3,76.5,73.0,74.3,2803610
46370,VCB,20180316,74.7,75.3,74.1,74.7,5327050
46724,VCB,20180315,73.0,74.5,72.8,73.8,2111990
47083,VCB,20180314,72.6,74.3,72.6,73.8,4053460
47411,VCB,20180313,72.0,72.6,70.6,72.0,2146470
47752,VCB,20180312,72.0,73.4,71.5,72.0,2899140
48100,VCB,20180309,70.5,71.5,69.6,71.0,3236520
48423,VCB,20180308,69.6,70.4,68.8,69.5,1554260
48737,VCB,20180307,71.5,71.9,68.5,69.6,2277620
49088,VCB,20180306,69.0,71.5,67.7,71.2,3103920
49448,VCB,20180305,72.0,72.5,68.0,68.0,2914810
49779,VCB,20180302,70.0,72.0,70.0,71.8,2525210
50124,VCB,20180301,72.6,74.6,71.0,71.5,3615670
50455,VCB,20180228,72.1,75.0,72.0,73.8,3475320
50803,VCB,20180227,72.9,73.5,71.7,73.2,2249770
51118,VCB,20180226,74.3,74.3,71.4,71.9,3453290
51474,VCB,20180223,67.0,71.4,66.7,71.4,4825770
51821,VCB,20180222,65.6,67.4,65.4,66.8,2352100
52157,VCB,20180221,65.0,67.9,64.5,66.2,2132410
52476,VCB,20180213,64.3,64.9,63.6,64.0,1527780
52812,VCB,20180212,62.0,63.5,60.7,63.5,1847850
53152,VCB,20180209,58.5,62.3,58.5,60.9,2408810
53480,VCB,20180208,62.6,63.5,61.5,62.9,855160
53829,VCB,20180207,65.0,65.2,62.8,63.5,1635780
54170,VCB,20180206,62.0,63.0,58.4,62.0,6724710
54503,VCB,20180205,66.0,67.0,62.7,62.7,2687810
54852,VCB,20180202,67.5,67.5,66.6,67.4,1652660
55173,VCB,20180201,66.4,67.8,65.8,66.6,2166810
55507,VCB,20180131,67.0,68.9,66.2,66.6,1936300
55845,VCB,20180130,66.5,67.8,66.2,67.0,2818520
56211,VCB,20180129,70.0,71.5,67.8,68.0,2281360
56556,VCB,20180126,69.4,70.0,66.5,69.1,2617800
56877,VCB,20180125,65.5,67.7,63.8,67.7,4788340
57252,VCB,20180122,62.0,63.4,61.7,63.3,2300660
57566,VCB,20180119,58.6,61.4,58.3,61.0,2998270
57926,VCB,20180118,56.0,58.5,55.9,58.5,2845720
58247,VCB,20180117,59.8,59.9,56.2,56.2,2077670
58595,VCB,20180116,59.3,60.3,58.8,60.0,2218380
58916,VCB,20180115,58.0,60.0,57.0,60.0,2061850
59287,VCB,20180112,58.8,59.4,58.0,58.0,2525840
59606,VCB,20180111,57.5,58.8,57.2,58.8,1766240
59937,VCB,20180110,58.3,59.2,57.3,58.0,2842830
60275,VCB,20180109,56.0,58.5,54.5,58.5,2853160
60641,VCB,20180108,54.0,55.5,53.0,55.4,2071140
60963,VCB,20180105,55.1,55.1,53.9,54.0,2045200
61270,VCB,20180104,54.6,55.4,54.3,55.4,1990040
